was	#	Van 1956 tot 1974 was Joke Smit gehuwd met Constant Kool , leraar wiskunde , later statisticus
schreef	AM-LOC	In het artikel ‘ Het onbehagen bij de vrouw ' in ‘ De Gids
riep	AM-LOC	bij andere vrouwen
was	#	de dochter van Johannes Jacobus Smit , hoofd van een ULO , en Johanna Elisabeth Koenderink , lerares aan een huishoudschool
uitgezonden	ArgM-LOC	onder de titel ‘ Ot ... en hoe zit het nu met Sien
vormde	Arg1	het beginselprogramma voor MVM
zit	ArgM-TMP	nu
schreef	Arg0	ze
oprichtte	A1	de actiegroep Man-Vrouw Maatschappij ( MVM
voeren	#	het
ontwikkelde	AM-LOC	onder haar voorzitterschap
bedacht	Arg0	ze
was	#	uniek
pleitte	Arg1	voor een feministisch televisieprogramma , dat in 1975 werd uitgezonden onder de titel ‘ Ot ... en hoe zit het nu met Sien
vond	Arg1	een praktische aanpak van maatschappelijke veranderingen
was	#	lid van de door de regering geïnstalleerde Emancipatiekommissie
werd	#	een icoon van de Nederlandse tweede feministische golf
zat	Arg1	Ze
wist	A1	de Nederlandse politiek te bewegen tot het voeren van een emancipatiebeleid
maakte	AM-TMP	vanaf 1971
veranderende	#	een
bewegen	A0	MVM
kan	#	De moeder van Marie
studeerde	AM-LOC	in Utrecht en Amsterdam
ondervond	A0	zij
uitsloot	ArgM-NEG	niet
deed	Arg0	Ze
beschouwd	A1	Dit geruchtmakende artikel
was	ArgM-TMP	in haar tijd
zat	Arg1	Kool-Smit
bekritiseerde	Arg1	tv-programma
was	#	de bakermat van veel feministische initiatieven
was	#	Haar latere partner
kregen	Arg1	drie kinderen
was	ArgM-TMP	Vanaf 1967
geïnstalleerde	Arg0	door de regering
