waren	#	zij
was	#	zeer genegen en zijn raadsman
wist	AM-TMP	Toen na de inneming der stad de paters het klooster moesten verlaten
vinden	A1	een andere verblijfplaats
aangesteld	Arg2	tot prior
bewoond	Arg1	een kloostergebouw
kregen	ArgM-LOC	er
opgetrokken	AM-TMP	nadat de prior de toestemming van den heer der plaats , Conrad van Ursel , had verkregen
vermeerderde	ArgM-TMP	Met veel ijver
was	ArgM-LOC	Na den vrede van Munster
stelde	Arg1	een vicaris
waren	#	zeer talrijk
verleende	Arg0	die
Zie	Arg1	P.D
was	#	alles eenigermate
bewonen	Arg1	haar klooster
stelde	ArgM-DIS	om een andere verblijfplaats te vinden
besturen	Arg4	tot zijn dood
werd	Arg1	een kloostergebouw
was	#	monnik in het klooster te Koudewater bij den Bosch , waar hij 1615 zijne kloostergeloften had afgelegd
verlaten	A0	de paters
bewerken	A1	dat zij met oogluiking mochten blijven
blijven	Arg0	zij
was	Arg1	dat
koopen	Arg1	het klooster Misagen te Eekeren
bestuurde	Arg1	het klooster , dat in verval was geraakt
beleefde	Arg0	Hij
bedienden	AM-DIS	sluiks
overleed	#	een schitterend voorbeeld van deugden nalatend , en een klooster met uitmuntende tucht
keerde	A0	de prior
afgelegd	Arg0	hij
openstaan	#	van den
gedaalde	ArgM-ADV	zeer
genegen	ArgM-ADV	zeer
verkregen	A1	de toestemming van den heer der plaats , Conrad van Ursel
