bewerkte	Arg1	de tweede bede ( 27-44 , van den 2den druk , Amst . 1721
verrijkte	Arg1	wiens Ghebruik en Onghebruik van ' t Orgel
schilderde	A0	die
achtte	A1	haast niet goed genoeg achtte om zijn portret te schilderen ( Hollantsche Parnas 406
zij	Arg1	een geschriftje met een eenigszins politieke strekking
Zie	ArgM-DIS	J. Heiblocq , Farrago Latino-Belgica. ( Amst . 1662 ) , 237 ; Jan Vos , Alle de Gedichten ... ( Amst . 1662 ) , 785 ; Knuttel , Catalogus van Pamfletten
schilderen	#	Hollantsche Parnas 406
schreef	AM-EXT	in wiens album
komen	ArgM-DIS	eveneens
gestelt	ArgM-CAU	door H.F
is	#	beschreven is in een gedicht van Corn. van der Veer ( Lauwer-Strijt ( Amst . 1665 ) , 125 , 164 , 307 ) , die ook een lofdicht op zijn afbeelding maakte
schatte	#	dat hij Rembrandt haast niet goed genoeg achtte om zijn portret te schilderen ( Hollantsche Parnas 406
getuigen	ArgM-ADV	dan
gebracht	Arg0	door eenige dichters
was	#	WATERLOOS ( Hendrick F.
was	Arg1	hij
maakte	ArgM-DIS	ook
stierven	ArgM-TMP	in 1664
gehuwd	Arg1	met Isabella van der Horst
