stond	ArgM-TMP	Tijdens de jaren 1580-1584
gaf	#	waardoor
begon	A1	hem al gauw een weinig goed hart begon toe te dragen
was	ArgM-ADV	Vermoedelijk
is	#	vermoedelijk identiek is geweest met den 11 Mrt
gehad	Arg0	die
tegenwerkte	ArgM-LOC	inzake een beroep van zekeren
Zie	ArgM-DIS	M. Schoock , De bonis vulgo ecclesiasticis dictis ( Gron . 1652 ) 503 ; Monatschrift des Frankenthaler Altertumsvereins XIII ( 1905 ) no. 12 ; F.W
was	ArgM-TMP	in dien tijd
is	#	sedert 1599 predikant is geweest
nam	A0	hij
afgezet	AM-MNR	waarop hij naar Amsterdam ging
was	#	bekenden Zacharias Ursinus
ondervond	#	Dat het werk daar uiterst moeilijk was in dien tijd
duurde	ArgM-NEG	niet
maken	ArgM-LOC	waar
is	#	wel geheel bevredigd is geweest
liep	ArgM-TMP	Toen in 1599 , inzake een beroep van zekeren Bergerus , de overheid wenschte wat Ursinus - om diens ergerlijk leven - tegenwerkte
dragen	Arg0	de magistraat
ingeschreven	AM-LOC	waar
verwisselde	ArgM-LOC	Op aandrang van Franciscus Junius
gedoopt	Arg0	Uit dit huwelijk
vereerd	ArgM-MNR	met een dubbeldukaat
trouwde	#	dochter van Willem Schoonjans
beroepen	AM-LOC	waar
beroepen	A0	hij
ingenomen	A1	die stad door Parma
ging	ArgM-CAU	waarop hij naar Amsterdam ging
is	ArgM-ADV	gaan
werd	#	die
beroepen	#	van predikanten
