kreeg	Arg1	een eigen televisieshow
vernoemd	Arg2	naar haar
vinden	AM-NEG	geen werk
was	#	getroffen door haar kinderstemmetje -- ze was bijna veertig
kreeg	Arg1	een vervolg met ‘ Luister Anita ' , een vlijmscherp protest tegen de Amerikaanse anti-homoactiviste Anita Bryant , die ze onder meer met Hitler vergeleek
gespaard	ArgM-TMP	op latere leeftijd
werken	A0	Ze
kreeg	#	voor
kocht	Arg0	ze
maakte	Arg1	een grandioze comeback in Amsterdam
ging	ArgM-PNC	voor het overgrote deel
onderging	Arg0	ze
mat	#	aan
kreeg	Arg1	de Gouden Harp van de Stichting Conamus
maakte	#	Haar hit ‘ Mexico ' uit 1969
debuteerde	ArgM-MNR	Met een interview en een vertolking van Luceberts ‘ Soldatenmoeder ' op muziek van Maderna
verdiende	ArgM-NEG	wat geld
gehouden	A1	het wereldkampioenschap voetbal in Mexico
volgde	ArgM-TMP	In 1963
werken	A0	Rietje Beij
vergeleek	ArgM-PRD	als ‘ Moeder der Zeven Smarten ' ( Hazeu , 23
spelen	ArgM-TMP	al
ontmoette	Arg0	ze
was	ArgM-PRD	als ‘ Koningin van het levenslied
treden	A0	haar
was	#	een alcoholicus die zijn gezin verwaarloosde
liet	Arg0	Ze
schreven	ArgM-PNC	voor haar
is	#	jarenlang voorwerp geweest van hoon en spot ( ‘ De Zangeres zonder Stem
besloot	A0	ze
was	ArgM-TMP	Nederlands hervormd
drink	ArgM-NEG	niet meer
verzon	Arg1	de artiestennaam
ondergaan	Arg1	twee zware operaties
gemaakt	ArgM-DIR	over haar leven
treden	#	als sociaal en humanitair geëngageerd artieste
opengedaan	Arg0	laatstgenoemde
leverde	#	op
schreef	AM-DIS	ter gelegenheid van haar afscheid
trok	ArgM-EXT	weer
was	ArgM-CAU	door Hoes
was	#	veertig
zingen	ArgM-TMP	's
trouwde	A0	Maria Beij
aanbood	Arg0	die
mocht	Arg1	Ze
ontdekt	Arg1	ze
kreeg	Arg0	ze
trad	AM-MNR	met liefde
verbroken	Arg0	ze
was	#	financieel beter af
had	Arg0	ze
geboycot	Arg1	ze
stortte	#	in
Vergeet	Arg0	M. van Erp
afreisde	Arg0	ze
vond	A0	Ze
benoemd	Arg1	ze
bleef	#	zingen , in zelfgemaakte avondjurken en aanvankelijk samen met haar broer Jerry
reisde	Arg0	Ze
geveild	ArgM-MNR	ten behoeve van goede doelen
geïnspireerd	ArgM-LOC	op het boek van Neel Doff
deed	ArgM-TMP	in november
vereenzaamde	Arg1	ze
heette	Arg1	De Straat zonder Naam
uitnodigde	Arg1	met toneelgroep Globe op te treden
maakte	ArgM-PRD	als zangeres
maakte	Arg0	Ze
kreeg	ArgM-PRD	als eerste
Tranen	ArgM-LOC	in een rode zakdoek
Bedankt	A1	lieve mensen
keerden	AM-TMP	vooral toen ze in 1984 , kort na haar vijftigjarig artiestenjubileum , twee zware operaties moest ondergaan
miste	Arg1	het contact met haar fans
lopen	ArgM-MNR	mank
nam	#	op
leefde	ArgM-PRD	Zelf
geëngageerd	ArgM-DIS	sociaal en humanitair
brak	AM-TMP	In 1977
heeft	Arg0	de Zangeres zonder Naam
Sterven	Arg0	Ben H. Holthuis
publiceerde	ArgM-MNR	met veel nadruk op haar armoede en haar ongeluk
opgewerkt	Arg1	tot administrateur
vergeleek	ArgM-LOC	onder meer
overleed	Arg0	Haar man
gegrepen	ArgM-CAU	uit het leven
werd	#	Haar hit ‘ Mexico ' uit 1969
ging	ArgM-DIS	Geestelijk en lichamelijk
protesteerden	#	tegen
durfde	Arg1	op te treden als sociaal en humanitair geëngageerd artieste
raakte	#	zwanger van een Duitse soldaat
opstreek	ArgM-TMP	nog altijd
bleef	#	Dit huwelijk
baatte	ArgM-TMP	Om de hypotheek te betalen
getuigde	Arg1	Ook haar contact met de openlijk homoseksuele Reve in 1969
verwaarloosde	Arg1	zijn gezin
beëindigen	Arg0	ze
was	ArgM-CAU	Door een ongeval
woonden	Arg0	haar broers Manus en Jerry
werd	Arg0	Haar man
optrad	A0	ze
sturen	ArgM-TMP	Hazeu , 48
brak	ArgM-TMP	toen Johnny Hoes in 1968 een eigen televisieshow bij de VARA kreeg
Sterven	AM-MNR	zonder naam
woonde	#	in
trad	A1	Servaes-Beij
betalen	A1	de hypotheek
aangewezen	A1	die
was	#	ze
aangeboden	Arg1	die
is	#	pas twee jaar later is aangebracht
sprak	A1	zijn veto
deed	ArgM-PRD	als De Klucht
optreden	AM-DIS	Ook
begon	A0	die
verkocht	ArgM-MNR	goed
zong	Arg0	ze
bleef	#	kinderloos
trouwde	#	ze
Werk	A1	De Zangeres
waren	#	Haar optredens
zingen	ArgM-LOC	in zelfgemaakte avondjurken
groeide	#	op
verdragen	AM-NEG	niet langer
uitgevoerde	ArgM-MNR	slecht
nam	ArgM-TMP	Hierna
is	Arg1	De musical die in 2011 over haar leven werd gemaakt
gezien	ArgM-MNR	diep
begon	AM-PRD	als souffleuse
opgenomen	A1	ze
teerden	Arg2	op haar successen uit eerdere jaren
stond	AM-ADV	bekend
was	Arg0	Ze
was	#	haar vader
overleed	ArgM-LOC	Daar
ging	Arg1	ze
trad	A0	Ze
vermoeide	ArgM-MNR	dodelijk
