was	#	kapitein-adjudant en zijn grootvader van moederskant luitenant-generaal
bevond	ArgM-LOC	in het rijksarchief te Arnhem
was	#	een trouw lid van de Groote Sociëteit te Arnhem
gediend	ArgM-LOC	waarbij
benoemd	ArgM-MNR	formeel
resulteerde	ArgM-LOC	In 1931
werd	#	bestuurslid van de vereniging Gelre
Archiefzorgen	ArgM-LOC	in een doode stad
beseffen	ArgM-TMP	toen
genoemd	ArgM-LOC	Naast zijn grote belangstelling voor geschiedenis
vroeg	A1	de nodige aandacht
waren	#	voor het grootste deel aan het vernietigende oorlogsgeweld
behoudend	ArgM-EXT	wat
gehinderd	ArgM-DIS	nog
doorlopen	Arg1	de HBS
werden	#	de contacten met bijvoorbeeld zijn grootvader
dichten	#	het
besteden	ArgM-ADV	aan dit werk
verzamelde	AM-LOC	op grond van archiefvondsten
geboren	#	als enige zoon uit het huwelijk van Andries Adrianus van Schilfgaarde ( 1860-1906 ) en Nicolina Diederica Marianne de Vlaming ( 1870-1956
inschrijven	A1	als student aan de Rijksarchiefschool
beïnvloed	Arg0	door zijn familie van moederszijde
had	ArgM-LOC	te maken
bekleedde	A1	het voorzitterschap
koos	ArgM-NEG	niet
gewekt	Arg2	tot leven
opgedaan	AM-TMP	tijdens de vele uren
strekkende	Arg0	de inventarisatie
verleend	ArgM-PNC	voor zijn bijzondere verdiensten in het bijzonder in de provincie Gelderland
behoeden	Arg1	het archiefgebouw
halen	AM-TMP	tijdens vele familiebezoeken
ontwikkelde	Arg0	hij
terugtrekken	ArgM-LOC	in zijn werkkamer met archivalia
vermelde	ArgM-TMP	hierna
had	Arg1	Zijn voorliefde voor de oudere stukken
ingenomen	A2	een belangrijke plaats
was	ArgM-LOC	in practische zin
gewekt	Arg1	Antons interesse voor de vaderlandse geschiedenis
was	Arg0	hij
had	Arg1	moeite
was	Arg0	De Vlaming
schreef	Arg1	De vele honderden aantekeningen die Van Schilfgaarde op grond van archiefvondsten verzamelde
aanleggen	#	van leenrepertoria
was	ArgM-PNC	voor Van Schilfgaarde
waren	#	nu bij Van Schilfgaarde met elkaar versmolten
begon	AM-TMP	Nadat Anton in Den Haag de HBS had doorlopen
was	Arg1	zijn liefde voor zijn Gelderse achtergronden
opgedragen	Arg2	hem
veroorloven	Arg0	Van Schilfgaarde
bleef	ArgM-TMP	tot in 1978
waren	#	de archieven van de stad en het graafschap van Buren
dienden	Arg1	Deze
dienden	Arg1	De weergoden
was	#	het
ondernomen	ArgM-CAU	dankzij een hoge mate van koelbloedigheid en doorzettingsvermogen had hij met enige hulp en een Ausweis vanuit zijn evacuatie-adres te Velp bijna dagelijkse ﬁetstochten naar het onveilige en zwaar gehavende Arnhem ondernomen om daar het archiefgebouw voor verder onheil te behoeden
hield	Arg1	een laatste lezing met als titel ‘ Koekje van eigen deeg ' , de stand van zaken omtrent zijn levenslange onderzoek naar zijn eigen geslacht
waren	#	Die
volgden	ArgM-TMP	Na de eerdere negendelige inventaris van het Huis Bergh
kreeg	Arg1	een interessante betrekking
Zie	ArgM-PNC	voor een overzicht van de werken van A . P. van Schilfgaarde
voerden	Arg2	naar het gemeentearchief van Rotterdam en het Algemeen Rijksarchief ( thans : Nationaal Archief ) in Den Haag
bereikt	Arg1	de pensioengerechtigde leeftijd
zijn	#	70 namen
openbaarde	Arg1	zijn belangstelling voor het archiefwezen
dichttimmeren	#	het
was	#	Hij
was	#	Van Schilfgaarde onder meer langdurig verbonden aan de Monumentencommissie der provincie Gelderland , de Stichting
geweerd	A1	Nieuwsgierigen en plunderaars
vervaardigde	Arg1	tal van inventarissen
bestaat	Arg2	uit vakhistorici , juristen en archivarissen
stierf	Arg0	Hij
gerangschikt	Arg2	Onder hen
was	#	bepaald geen voor de hand liggende vervolgopleiding
beklonk	Arg1	zijn levensloop : de weg waarbij zijn hobby als drijfveer had gediend
achterhalen	#	van velen
ontwikkelden	Arg1	hem
was	ArgM-DIS	Bovendien
was	ArgM-DIS	van het historisch museum , maar bovendien
wist	A1	tijdens vele familiebezoeken hieraan wist op te halen
verbonden	Arg1	aan de Monumentencommissie der provincie Gelderland , de Stichting
steken	A2	in deze hobby
opgericht	AM-TMP	weer
behalen	#	van het diploma voor archiefambtenaar der eerste klasse
gehavende	#	zwaar
treffen	Arg1	zijn ambtsopvolgers
was	#	kon
gelegen	ArgM-LOC	in de Tielerwaard
was	#	daarbuiten was geëvacueerd
werd	#	hij
gebleven	#	ongehuwd
kwam	ArgM-ADV	gewoonlijk
weerstaan	Arg1	De weergoden
daterend	Arg2	van na 1800
liggende	#	voor de hand
gedoemde	ArgM-TMP	tot vergetelheid
afgesloten	Arg1	met een bibliograﬁe van de publicaties van Van Schilfgaarde , ibidem
hield	Arg2	op de eerste naoorlogse bijeenkomst van 6 oktober 1945
verwees	Arg0	die
was	#	hij
afwisselend	#	naar elders in de provincie
