verschenen,r1,ArgM-TMP,in 1872
verwekte,r17,Arg1,Veel opschudding
vertaalde,r29,AM-DIS,ook
voerde,r20,ArgM-TMP,Van 1868 tot 1872
schreef,r19,Arg0,hij
huwde,r24,#,2. met Wilhelmina Aldershoff ( 1836-1898
aangewend,r26,ArgM-DIS,voor optreden in het publiek als wel voor publicitaire arbeid
vertaalde,r28,ArgM-LOC,tussen 1865 en 1875
had,r15,Arg1,D.
verzorgen,r25,#,van vertalingen uit het Engels , Frans en Duits
verzorgen,r25,#,van vertalingen uit het Engels , Frans en Duits
verzorgen,r25,#,van vertalingen uit het Engels , Frans en Duits
