waren	#	wat van geloofsgenoten , zoals de vertaling van het werk van Flavius Josephus
wijdde	A1	hij
vertrok	AM-LOC	nog in hetzelfde jaar
ging	Arg0	hij
huwde	Arg1	1. in 1723 met Dieuwertje ( Debora ) Segers Blauwduif
overlijden	#	van zijn vader
vestigde	AM-LOC	In 1723
gaf	ArgM-LOC	in het licht
verlaten	AM-CAU	Wegens het overlijden van zijn vader
werd	#	lid van de doopsgez. gemeente in zijn woonplaats
werd	ArgM-CAU	Wegens het overlijden van zijn vader
werd	ArgM-CAU	Wegens het overlijden van zijn vader
